"station","POSIXtime","parsivelStatus","precipCode","parsivelR","class1","class2","class3","class4","class5","class6","class7","class8","class9","class10","class11","class12","class13","class14","class15","class16","class17","class18","class19","class20","class21","class22","class23","class24","class25","class26","class27","class28","class29","class30","class31","class32"
"Payerne MCH Roof",2014-04-08 05:41:00,0,0,2.186,0,0,4.70056635591402,56.0347183835078,124.59732007565,220.219989367197,202.769092983097,135.457970830849,179.104077592728,179.477452561169,84.9257357049321,30.2666860957924,14.0080031063946,3.32475118891301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:41:30,0,0,1.933,0,0,6.57551333434106,46.8079308956757,200.10914977462,146.117024857862,211.332107599813,130.309667620037,226.610829494058,112.526086621966,52.1169242847637,19.9414394397219,0,2.35833212060953,1.8204145992832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:42:00,0,0,2.14,0,0,14.3898856651906,39.069599380318,224.375331709931,313.26216896985,288.747517997104,135.50367190063,139.862172951625,74.1973826230533,96.0561540965633,25.7716337053282,7.21624402450632,8.80081197065209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:42:30,0,0,1.909,0,0,2.89867450339464,61.0166523229083,267.742500751592,73.5198062436759,135.146603800225,138.74815170004,164.253959364401,115.787712321153,87.8617642740107,18.1518230797469,2.8925201323745,2.11008663422958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:43:00,0,0,2.792,0,0,14.9005891830564,64.4754661315521,236.010876612915,245.565633169859,396.580747030618,283.98644761906,143.886983684046,133.354755254947,100.849311149607,36.8594296018066,20.3752772456649,5.86720798043472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:43:30,0,0,2.122,0,0,17.9312174914746,90.7540156994939,171.115648029163,364.340689228403,214.386823933374,266.757144311628,248.532062726989,155.413436575314,84.9257357049321,16.7815289243998,7.21624402450632,0,2.72145517478626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:44:00,0,0,1.607,0,0,5.79536768450398,91.6874670394389,135.301487801805,287.431982859754,293.67202728844,282.16181142508,167.494960930391,58.7092625853736,48.5634976289844,7.66978439989305,5.44474377858729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:44:30,0,0,1.591,0,0,9.92751729032172,47.9526331814375,198.482758817618,234.901015928205,344.905086561269,206.742859960059,190.52767872603,79.9098296300919,33.5864623168477,3.32357323995366,5.785040264749,2.67277640335747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:45:00,0,0,1.141,0,0,11.5927166912932,75.400492718112,157.895404552442,257.296500009944,252.637445463344,223.619828120064,94.4211789558579,58.7092625853736,21.1363081821541,6.64714647990731,2.8925201323745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Payerne MCH Roof",2014-04-08 05:45:30,0,0,1.683,0,0,12.2259968267324,57.0044670183957,154.567863579439,177.257605076954,306.036553043656,286.691291850376,147.789671409169,44.847353363827,34.955189621296,14.8282498397932,2.8925201323745,5.031108523967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
